date,scope,rainfall_mm,source,processing_time_utc
2026-07-31,carbon_project_zone,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:26:58.719301+00:00
2026-07-31,project_area,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:27:02.052619+00:00
2026-08-01,carbon_project_zone,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:27:12.381304+00:00
2026-08-01,project_area,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:27:14.656135+00:00
2026-08-02,carbon_project_zone,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:27:15.019204+00:00
2026-08-02,project_area,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:27:16.088266+00:00
2026-08-03,carbon_project_zone,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:27:16.472200+00:00
2026-08-03,project_area,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:27:17.321989+00:00
2026-08-04,carbon_project_zone,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:27:19.102168+00:00
2026-08-04,project_area,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:27:20.158257+00:00
2026-08-05,carbon_project_zone,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:27:20.726620+00:00
2026-08-05,project_area,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:27:25.250069+00:00
2026-08-06,carbon_project_zone,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:27:26.979823+00:00
2026-08-06,project_area,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:27:29.670093+00:00
2026-08-07,carbon_project_zone,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:27:30.500435+00:00
2026-08-07,project_area,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:27:31.894144+00:00
2026-08-08,carbon_project_zone,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:27:32.475932+00:00
2026-08-08,project_area,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:27:37.374590+00:00
2026-08-09,carbon_project_zone,0.05288097533592486,NASA/GPM_L3/IMERG_V07,2026-08-30T08:27:38.078609+00:00
2026-08-09,project_area,0.023004658489852496,NASA/GPM_L3/IMERG_V07,2026-08-30T08:27:39.184942+00:00
2026-08-10,carbon_project_zone,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:27:39.972566+00:00
2026-08-10,project_area,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:27:41.010197+00:00
2026-08-11,carbon_project_zone,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:27:41.513494+00:00
2026-08-11,project_area,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:27:42.378434+00:00
2026-08-12,carbon_project_zone,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:27:42.955268+00:00
2026-08-12,project_area,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:27:43.948526+00:00
2026-08-13,carbon_project_zone,0.001637792735240151,NASA/GPM_L3/IMERG_V07,2026-08-30T08:27:44.902291+00:00
2026-08-13,project_area,3.1055899926964545e-05,NASA/GPM_L3/IMERG_V07,2026-08-30T08:27:45.861583+00:00
2026-08-14,carbon_project_zone,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:27:51.854497+00:00
2026-08-14,project_area,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:27:52.794686+00:00
2026-08-15,carbon_project_zone,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:27:53.870655+00:00
2026-08-15,project_area,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:28:29.836924+00:00
2026-08-16,carbon_project_zone,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:28:30.435263+00:00
2026-08-16,project_area,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:28:31.238843+00:00
2026-08-17,carbon_project_zone,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:28:40.645996+00:00
2026-08-17,project_area,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:28:51.875492+00:00
2026-08-18,carbon_project_zone,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:28:52.412109+00:00
2026-08-18,project_area,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:28:53.204163+00:00
2026-08-19,carbon_project_zone,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:28:53.708050+00:00
2026-08-19,project_area,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:28:54.529033+00:00
2026-08-20,carbon_project_zone,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:28:54.975558+00:00
2026-08-20,project_area,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:28:55.645718+00:00
2026-08-21,carbon_project_zone,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:29:32.151846+00:00
